seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
030001,3　女,1999,2368,15,7,2,2,0,26,5,6,7,9,15,10,14,27,44,54,83,90,150,246,344,367,448,319,91,13,0
030001,3　女,2000,2268,11,7,1,0,0,19,5,6,5,14,13,17,17,32,27,50,63,101,144,194,320,366,455,291,109,20,0
030001,3　女,2001,2210,8,5,2,1,1,17,3,2,11,12,12,10,10,16,23,47,65,80,134,206,342,376,432,295,99,18,0
030001,3　女,2002,2237,6,4,2,1,2,15,3,4,4,9,5,11,21,23,30,46,54,86,127,194,307,380,471,331,91,25,0
030001,3　女,2003,2163,14,3,1,1,1,20,4,6,8,4,15,10,12,13,22,33,39,72,142,197,311,385,426,313,116,15,0
030001,3　女,2004,2265,9,2,1,0,1,13,1,5,2,3,2,12,15,21,32,40,49,73,112,199,307,421,425,360,147,26,0
030001,3　女,2005,2301,7,3,2,1,2,15,2,0,4,11,8,10,10,14,18,35,48,77,105,201,311,426,453,371,163,19,0
030001,3　女,2006,2281,11,1,4,2,3,21,2,1,4,2,8,9,10,9,17,31,56,63,104,205,305,406,467,376,161,24,0
030001,3　女,2007,2310,4,2,2,0,0,8,5,2,3,6,7,5,13,15,21,37,61,63,107,196,304,401,445,417,172,22,0
030001,3　女,2008,2307,11,1,1,1,1,15,2,2,2,6,2,12,18,16,19,27,43,65,119,195,298,428,454,364,177,43,0
030001,3　女,2009,2278,4,3,1,0,1,9,0,1,2,4,5,15,11,12,25,23,51,63,121,160,269,431,477,365,194,40,0
030001,3　女,2010,2388,9,0,0,1,1,11,0,5,3,5,3,5,14,10,18,16,39,71,110,183,293,447,512,405,199,39,0
030001,3　女,2011,2408,6,1,2,1,1,11,2,2,2,10,3,2,8,14,23,34,40,97,113,188,281,383,543,424,183,44,1
030001,3　女,2012,2516,5,2,2,0,1,10,1,2,5,1,2,5,10,13,15,32,46,83,95,187,303,467,552,458,192,37,0
030001,3　女,2013,2516,6,2,0,0,1,9,2,4,2,2,3,4,4,11,24,21,27,78,102,157,326,462,559,474,208,37,0
030001,3　女,2014,2451,5,4,2,1,0,12,2,4,3,3,1,4,17,10,14,15,33,72,101,174,238,440,560,489,208,51,0
030001,3　女,2015,2419,5,5,2,0,0,12,4,1,3,0,5,5,10,10,13,19,37,66,80,190,259,437,565,430,221,52,0
030001,3　女,2016,2538,2,1,2,1,0,6,0,3,2,2,2,3,7,15,15,23,29,65,107,139,243,487,569,531,243,47,0
030001,3　女,2017,2486,4,1,2,2,0,9,0,1,3,3,4,3,9,11,14,14,30,49,114,165,250,404,536,542,272,53,0
030002,3　女,1999,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,3,6,12,22,31,21,11,1,0
030002,3　女,2000,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,6,6,20,28,26,3,2,0
030002,3　女,2001,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,5,14,26,15,8,2,0
030002,3　女,2002,98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,6,9,12,23,28,14,1,0
030002,3　女,2003,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,3,4,21,33,25,11,2,0
030002,3　女,2004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,5,16,19,29,18,4,0
030002,3　女,2005,99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,1,4,10,12,18,31,14,1,0
030002,3　女,2006,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,4,8,18,30,22,15,3,0
030002,3　女,2007,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,4,9,14,26,30,19,4,0
030002,3　女,2008,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,5,5,19,20,33,18,7,0
030002,3　女,2009,110,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,3,2,7,13,26,26,23,5,0
030002,3　女,2010,126,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,3,4,15,16,28,31,16,6,0
030002,3　女,2011,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,6,11,30,31,14,3,1
030002,3　女,2012,121,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,2,4,11,15,34,20,17,10,0
030002,3　女,2013,144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,3,0,6,4,19,46,38,14,8,0
030002,3　女,2014,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,17,31,36,25,2,0
030002,3　女,2015,139,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,1,2,9,3,13,40,28,25,11,0
030002,3　女,2016,159,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,2,0,2,9,11,32,60,28,9,0
030002,3　女,2017,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,4,15,35,44,28,3,0
030003,3　女,1999,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,3,5,9,13,8,3,1,0
030003,3　女,2000,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,10,13,16,2,2,0
030003,3　女,2001,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,10,5,4,2,0
030003,3　女,2002,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,6,9,12,9,1,0
030003,3　女,2003,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,7,15,10,7,0,0
030003,3　女,2004,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,7,14,9,3,0
030003,3　女,2005,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,6,15,7,1,0
030003,3　女,2006,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,5,9,9,9,4,2,0
030003,3　女,2007,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4,11,14,11,1,0
030003,3　女,2008,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,7,12,7,5,0
030003,3　女,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,10,7,8,0,0
030003,3　女,2010,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5,3,11,17,8,2,0
030003,3　女,2011,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,9,8,5,2,0
030003,3　女,2012,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,14,9,6,8,0
030003,3　女,2013,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,8,14,17,9,6,0
030003,3　女,2014,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,13,16,12,0,0
030003,3　女,2015,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,3,14,15,13,6,0
030003,3　女,2016,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,5,14,35,10,3,0
030003,3　女,2017,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,9,19,13,2,0
030004,3　女,1999,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,2,3,0,0,0
030004,3　女,2000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,3,0,0,0
030004,3　女,2001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,1,0,1,0
030004,3　女,2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0
030004,3　女,2003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0
030004,3　女,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
030004,3　女,2005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
030004,3　女,2006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0
030004,3　女,2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,0
030004,3　女,2008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0
030004,3　女,2009,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0
030004,3　女,2010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0
030004,3　女,2011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0
030004,3　女,2012,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,4,0,1,0
030004,3　女,2013,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,6,1,1,0
030004,3　女,2014,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,5,5,0,0
030004,3　女,2015,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,3,0,0
030004,3　女,2016,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,11,2,0,0
030004,3　女,2017,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0
030005,3　女,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
030005,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
030005,3　女,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030005,3　女,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
030006,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
030006,3　女,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
030006,3　女,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
030006,3　女,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
030006,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030006,3　女,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
030006,3　女,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
030006,3　女,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
030006,3　女,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
030006,3　女,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
030006,3　女,2016,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,0,0
030006,3　女,2017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
030007,3　女,1999,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,3,2,10,5,3,1,0
030007,3　女,2000,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,9,13,2,2,0
030007,3　女,2001,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,4,4,1,0
030007,3　女,2002,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,7,9,8,1,0
030007,3　女,2003,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,6,12,7,7,0,0
030007,3　女,2004,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,7,12,7,3,0
030007,3　女,2005,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,14,7,1,0
030007,3　女,2006,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,5,5,8,6,4,2,0
030007,3　女,2007,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,8,12,11,1,0
030007,3　女,2008,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,7,9,5,4,0
030007,3　女,2009,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,7,5,6,0,0
030007,3　女,2010,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2,9,16,7,2,0
030007,3　女,2011,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,4,7,5,1,0
030007,3　女,2012,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,5,6,7,0
030007,3　女,2013,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,9,8,5,0
030007,3　女,2014,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,10,7,0,0
030007,3　女,2015,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,11,12,10,6,0
030007,3　女,2016,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,22,7,3,0
030007,3　女,2017,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,7,15,8,2,0
030008,3　女,1999,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,4,5,1,0,0,0
030008,3　女,2000,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,6,1,1,0,0
030008,3　女,2001,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,6,1,1,0,0
030008,3　女,2002,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,5,2,2,0,0
030008,3　女,2003,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,8,4,1,0,0
030008,3　女,2004,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,2,0,0
030008,3　女,2005,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,2,0,0
030008,3　女,2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,0
030008,3　女,2007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0
030008,3　女,2008,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,6,2,0,0
030008,3　女,2009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0
030008,3　女,2010,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,6,5,4,1,0
030008,3　女,2011,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,2,0,0
030008,3　女,2012,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,1,1,1,0
030008,3　女,2013,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,3,0,1,0
030008,3　女,2014,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,1,0
030008,3　女,2015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,0,0
030008,3　女,2016,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0
030008,3　女,2017,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,2,1,0
030009,3　女,1999,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,3,5,1,0,0,0
030009,3　女,2000,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,6,1,1,0,0
030009,3　女,2001,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,6,1,1,0,0
030009,3　女,2002,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,5,2,2,0,0
030009,3　女,2003,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,8,4,1,0,0
030009,3　女,2004,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,2,0,0
030009,3　女,2005,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,2,0,0
030009,3　女,2006,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,0,0
030009,3　女,2007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0
030009,3　女,2008,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,6,2,0,0
030009,3　女,2009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0
030009,3　女,2010,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,6,5,4,1,0
030009,3　女,2011,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,2,0,0
030009,3　女,2012,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,1,1,1,0
030009,3　女,2013,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,3,0,1,0
030009,3　女,2014,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,0,0
030009,3　女,2015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,0,0
030009,3　女,2016,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0
030009,3　女,2017,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,2,1,0
030010,3　女,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030010,3　女,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030011,3　女,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
